params: score_limit=14, eVal_upper_limit=0.1, align_min_limit=14, min_identity=80, matches=18, m_delta=19
exl_b		exl_c	exl_d	hits
sqt-3		1859	0		157
col-34		454		0		194
let-2		309		1		123
col-157		145		1		217
col-117		120		0		221
col-3		120		0		221
col-139		120		0		179
emb-9		105		0		95
dpy-13		105		1		897
col-125		98		0		206
dpy-3		94		0		50
col-111		93		2		36
col-98		68		0		93
col-96		61		1		176
col-155		55		1		188
col-43		54		0		187
col-95		39		0		156
col-154	 	38		1		187
col-97		37		0		129
col-166		31		0		73
col-122		27		0		129
col-114		23		0		75
col-160		21		0		88
col-109 	19		0		77
col-107		17		0		86
col-85		13		0		129
col-44 		13		0		155
col-110		10		0		3
col-45		9		3		7
col-176		8		0		51
dpy-7		8		5		11
col-159	 	8		0		72
col-60		8		1		0
col-39		7		0		72
rol-8		7		0		96
col-119		7		0		175
col-38		7		0		33
col-183		6		0		128
col-48		6		0		66
col-101		5		0		51
col-63		5		0		32
col-180		5		0		59
col-170 	5		0		65
col-169 	5		0		64
col-167		4		0		65
col-165		4		0		36
col-164 	3		0		10
col-77		3		0		123
col-161		3		0		88
ram-2		3		0		45
col-88 		2		0		61
col-185 	2		1		108
col-126		2		0		70
col-127		2		0		70
col-2		2		0		134
col-90		2		0		40
col-187		2		1		0
col-83		2		1		0
col-13		2		0		78
col-146		2		0		45
col-171 	2		0		11
col-12		2		0		82
dpy-8		1		1		58
sqt-1		1		0		26
col-7		1		0		84
col-62		1		0		83
col-143		1		0		77
col-20		1		0		44
col-181 	1		0		75
col-178		1		0		42
col-73		1		0		116
col-147		1		0		47
col-149		1		0		22
gna-1 		1		0		0
bli-1		1		0		7
col-186		1		1		0
col-153		1		0		0
col-89		1		0		18
dpy-5		1		0		34
col-163		1		0		0
col-174		1		2		0
col-9		1		0		5
col-121		1		0		0
col-177		1		0		0
col-84		1		0		13
col-182		1		0		39
col-40		1		0		82
col-86		1		0		0
col-80		1		0		118
col-33		1		0		51
col-81		1		0		55
col-130		1		0		72
col-118		1		0		31
col-19		1		0		49
col-91		1		0		35
col-35		1		1		29
col-129		0		0		72
col-140		0		0		86
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
col-156		0		0		30
col-68		0		0		17
col-158		0		0		38
col-17		0		0		129
col-41 		0		0		62
dpy-9 		0		0		7
col-50		0		0		25
lon-3 		0		0		0
col-141		0		0		49
col-104		0		1		38
crm-1		0		0		0
crm-1		0		0		0
col-150		0		0		0
col-49		0		0		6
col-51		0		0		62
col-179 	0		0		34
col-36		0		0		46
col-14		0		0		40
col-142		0		0		104
col-151		0		0		0
sqt-2		0		0		41
col-61		0		0		6
col-79		0		0		0
col-148		0		0		0
col-102		0		0		62
col-175 	0		0		6
cle-1		0		0		0
col-131 	0		0		0
col-132 	0		0		26
col-138		0		0		75
col-128 	0		0		8
col-184 	0		0		50
col-152 	0		0		0
col-54 		0		0		14
col-172 	0		0		0
col-173 	0		0		0
fipr-21 	0		0		0
col-64 		0		1		0
srxa-2		0		0		0
col-105		0		0		0
col-70 		0		0		0
col-69 		0		0		0
col-75 		0		0		0
col-53 		0		0		0
col-76 		0		0		0
col-135 	0		0		0
rol-6		0		0		35
col-78 		0		0		0
col-123 	0		0		13
col-72 		0		0		5
col-87 		0		0		0
col-37 		0		0			44
-----------------------------------------------------------
The other genes that we found
-----------------------------------------------------------
Y113G7A.20	93
Y54B9A.1	187
let-526	7
col-144	67
Y105E8A.43	6
Y105E8A.42	111
B0041.10	9
col-55	17
clec-222	10
Y51A2D.36	33
sec-24.1	4
Y57A10A.40	3
col-162	83
col-65	18
col-42	89
Y51A2D.37	86
col-74	29
T28F2.1	1
col-108	32
Y71G12B.13	8
col-137	61
unc-22	18
vha-17	6
Y105E8A.39	30
col-10	67
Y69H2.24	156
col-145	74
col-133	134
F43D9.11	129
B0393.3	6
col-94	177
F47G4.12	38
col-93	144
Y49E10.31	1
col-168	65
Y48G9A.17	6
col-103	149
dpy-10	8
F13E9.8	6
col-113	31
col-92	166
clx-1	6
set-16	5
Y51A2D.28	951
dpy-14	14
Y105E8A.44	111
sra-28	2
col-58	27
dpy-2	32
fmi-1	4
htz-1	22
ZC123.10	86
sra-14	3
rol-1	9
col-115	21
F14D1.2	10
C35B1.4	3
exc-6	8
col-71	28
bli-2	14
Y51F10.12	6
F47G4.11	86
bli-6	93
col-8	3
F31D4.11	176
col-106	7
cut-1	9
dpy-4	146
eif-1.A	7
K03E5.7	9
pqn-70	4
dpy-17	18
col-124	181
-----------------------------------------------------------
Summary:
-----------------------------------------------------------
* 24 genes from excel that D>=19
** 31 Got off off targets (hits for a gene that his D<=0)
*** 73 extra genes
