params: score_limit=14, eVal_upper_limit=0.1, align_min_limit=14, min_identity=80, matches=16, m_delta=99
exl_b		exl_c	exl_d	hits
sqt-3		1859	0		168
col-34		454		0		199
let-2		309		1		133
col-157		145		1		232
col-117		120		0		246
col-3		120		0		246
col-139		120		0		189
emb-9		105		0		102
dpy-13		105		1		901
col-125		98		0		224
dpy-3		94		0		53
col-111		93		2		46
col-98		68		0		97
col-96		61		1		182
col-155		55		1		206
col-43		54		0		206
col-95		39		0		172
col-154	 	38		1		206
col-97		37		0		141
col-166		31		0		87
col-122		27		0		145
col-114		23		0		86
col-160		21		0		97
col-109 	19		0		79
col-107		17		0		88
col-85		13		0		136
col-44 		13		0		166
col-110		10		0		3
col-45		9		3		7
col-176		8		0		54
dpy-7		8		5		11
col-159	 	8		0		81
col-60		8		1		0
col-39		7		0		76
rol-8		7		0		101
col-119		7		0		183
col-38		7		0		35
col-183		6		0		135
col-48		6		0		67
col-101		5		0		63
col-63		5		0		32
col-180		5		0		77
col-170 	5		0		76
col-169 	5		0		74
col-167		4		0		76
col-165		4		0		41
col-164 	3		0		10
col-77		3		0		129
col-161		3		0		97
ram-2		3		0		52
col-88 		2		0		61
col-185 	2		1		116
col-126		2		0		73
col-127		2		0		73
col-2		2		0		142
col-90		2		0		40
col-187		2		1		0
col-83		2		1		0
col-13		2		0		84
col-146		2		0		45
col-171 	2		0		13
col-12		2		0		88
dpy-8		1		1		67
sqt-1		1		0		35
col-7		1		0		101
col-62		1		0		100
col-143		1		0		90
col-20		1		0		45
col-181 	1		0		83
col-178		1		0		53
col-73		1		0		132
col-147		1		0		52
col-149		1		0		23
gna-1 		1		0		0
bli-1		1		0		7
col-186		1		1		0
col-153		1		0		0
col-89		1		0		18
dpy-5		1		0		34
col-163		1		0		0
col-174		1		2		0
col-9		1		0		5
col-121		1		0		0
col-177		1		0		0
col-84		1		0		13
col-182		1		0		41
col-40		1		0		86
col-86		1		0		0
col-80		1		0		120
col-33		1		0		51
col-81		1		0		69
col-130		1		0		76
col-118		1		0		40
col-19		1		0		63
col-91		1		0		37
col-35		1		1		44
col-129		0		0		74
col-140		0		0		90
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
crm-1		0		0		0
col-156		0		0		30
col-68		0		0		17
col-158		0		0		41
col-17		0		0		148
col-41 		0		0		64
dpy-9 		0		0		7
col-50		0		0		34
lon-3 		0		0		9
col-141		0		0		51
col-104		0		1		39
crm-1		0		0		0
crm-1		0		0		0
col-150		0		0		0
col-49		0		0		6
col-51		0		0		77
col-179 	0		0		45
col-36		0		0		51
col-14		0		0		42
col-142		0		0		114
col-151		0		0		0
sqt-2		0		0		42
col-61		0		0		6
col-79		0		0		9
col-148		0		0		0
col-102		0		0		67
col-175 	0		0		6
cle-1		0		0		0
col-131 	0		0		0
col-132 	0		0		35
col-138		0		0		78
col-128 	0		0		10
col-184 	0		0		52
col-152 	0		0		0
col-54 		0		0		20
col-172 	0		0		0
col-173 	0		0		0
fipr-21 	0		0		0
col-64 		0		1		0
srxa-2		0		0		0
col-105		0		0		0
col-70 		0		0		0
col-69 		0		0		0
col-75 		0		0		0
col-53 		0		0		0
col-76 		0		0		0
col-135 	0		0		0
rol-6		0		0		36
col-78 		0		0		0
col-123 	0		0		22
col-72 		0		0		5
col-87 		0		0		0
col-37 		0		0			45
-----------------------------------------------------------
The other genes that we found
-----------------------------------------------------------
Y113G7A.20	97
Y54B9A.1	206
let-526	7
Y105E8A.43	6
B0041.10	9
col-55	17
clec-222	10
Y51A2D.36	35
Y57A10A.40	12
col-162	86
col-65	18
col-42	93
figl-1	9
Y51A2D.37	88
col-74	35
T28F2.1	1
col-108	46
Y71G12B.13	17
col-144	75
col-137	63
unc-22	22
vha-17	6
Y105E8A.39	39
col-10	75
Y69H2.24	172
col-145	77
col-133	144
F43D9.11	141
Y51A2D.28	955
B0393.3	6
col-94	190
F47G4.12	39
dpy-17	28
col-93	159
Y49E10.31	1
col-168	76
Y48G9A.17	6
col-103	151
dpy-10	10
F13E9.8	6
col-113	33
col-92	179
lam-2	9
clx-1	10
set-16	5
dpy-14	16
Y105E8A.44	126
sra-28	2
Y105E8A.42	114
col-58	27
dpy-2	36
sec-24.1	4
fmi-1	4
htz-1	30
ZC123.10	88
sra-14	3
rol-1	9
col-115	23
F14D1.2	10
C35B1.4	3
exc-6	8
col-71	30
bli-2	14
Y51F10.12	6
F47G4.11	88
bli-6	117
col-8	12
F31D4.11	182
col-106	7
cut-1	11
dpy-4	175
eif-1.A	7
K03E5.7	11
pqn-70	4
col-124	212
-----------------------------------------------------------
Summary:
-----------------------------------------------------------
* 9 genes from excel that D>=99
** 33 Got off off targets (hits for a gene that his D<=0)
*** 75 extra genes
